Sr_No,Carpet Area,Status,floor ,Transition type,Year Built,Price per sqft
1,5750,Available for Sale,six floors,Not Available,1996,9225
2,1550,Under Contract,six floors,Not Available,1969,23143
3,1550,Active,six floors,Not Available,1969,21625
4,6219,Available for Sale,six floors,Not Available,1911,27171
5,6219,Active,six floors,Not Available,1922,44250
6,3756,Under Contract,six floors,Not Available,1968,12000
7,3756,Available for Sale,six floors,Not Available,1911,33173
8,10000,Active,six floors,Not Available,1966,19048
9,10000,Active,eight floors,Not Available,1965,14583
10,9114,Under Contract,eight floors,Not Available,1977,8875
11,2869,Available for Sale,one floor,Not Available,2008,14530
12,2869,Available for Sale,one floor,Not Available,2016,14530
13,3444,Under Contract,one floor,Not Available,2010,8400
14,3444,Active,one floor,Not Available,2001,8400
15,2636,Under Contract,one floor,Not Available,2010,11635
16,2636,Available for Sale,one floor,Not Available,2019,11635
17,2400,Active,two floors,Not Available,2013,12000
18,2400,Available for Sale,two floors,Not Available,2011,12000
19,1840,Under Contract,two floors,Not Available,2022,6260
20,1840,Under Contract,two floors,Not Available,2017,6260
21,2040,Active,two floors,Not Available,2006,9500
22,2040,Active,two floors,Not Available,2016,9500
23,2880,Available for Sale,two floors,Not Available,2012,8120
24,2880,Under Contract,two floors,Not Available,2019,8120
25,6012,Active,two floors,Not Available,2002,11790
26,6012,Available for Sale,two floors,Not Available,2011,11790
27,4030,Under Contract,two floors,Not Available,2004,8040
28,4030,Active,two floors,Not Available,2017,8040
29,2150,Under Contract,two floors,Not Available,2016,18710
30,2150,Available for Sale,two floors,Not Available,2015,18710
31,6120,Active,two floors,Not Available,2014,8100
32,6120,Under Contract,two floors,Not Available,2015,8100
33,4600,Active,two floors,Not Available,2019,21570
34,4600,Available for Sale,two floors,Not Available,2022,21570
35,3285,Available for Sale,two floors,Not Available,2024,21530
36,3285,Under Contract,two floors,Not Available,2003,21530
37,5750,Active,two floors,Not Available,2019,10860
38,5750,Under Contract,two floors,Not Available,2015,10860
39,1550,Active,two floors,Not Available,2022,17150
40,1550,Available for Sale,two floors,Not Available,2005,17150
41,6219,Active,two floors,Not Available,2022,20560
42,6219,Under Contract,two floors,Not Available,2008,20560
43,3756,Available for Sale,two floors,Not Available,2007,14000
44,3756,Active,two floors,Not Available,2001,14000
45,10000,Available for Sale,two floors,Not Available,2016,13040
46,10000,Active,two floors,Not Available,2019,13040
47,3756,Under Contract,two floors,Not Available,2008,10000
48,3756,Under Contract,two floors,Not Available,2012,10000
49,5205,Available for Sale,two floors,Not Available,2007,19130
50,5205,Active,two floors,Not Available,2015,19130
51,1100,Under Contract,two floors,Not Available,2020,15217
52,1800,Available for Sale,two floors,Not Available,2000,17424
53,3700,Under Contract,two floors,Not Available,2003,23261
54,2000,Available for Sale,two floors,Not Available,2010,17424
55,950,Active,two floors,Not Available,2009,50038
56,1500,Under Contract,two floors,Not Available,2012,18667
57,1200,Under Contract,two floors,Not Available,2014,13611
58,1600,Available for Sale,two floors,Not Available,2003,6667
59,1850,Active,two floors,Not Available,2010,16667
60,980,Available for Sale,two floors,Not Available,2001,22727
61,1800,Active,two floors,Not Available,2023,8462
62,2300,Under Contract,two floors,Not Available,2010,21875
63,800,Available for Sale,two floors,Not Available,2009,12778
64,900,Under Contract,two floors,Not Available,2014,21930
65,800,Active,two floors,Not Available,2013,10278
66,850,Active,two floors,Not Available,2003,30769
67,720,Under Contract,two floors,Not Available,2014,32249
68,8000,Available for Sale,two floors,Not Available,2014,32303
69,1500,Active,two floors,Not Available,2017,13250
70,2400,Under Contract,two floors,Not Available,2013,26709
71,1800,Available for Sale,two floors,Not Available,2004,11765
72,2000,Under Contract,two floors,Not Available,2000,15263
73,1250,Available for Sale,two floors,Not Available,2002,12069
74,3000,Under Contract,two floors,Not Available,2017,8250
75,1800,Available for Sale,two floors,Not Available,2012,3667
76,2567,Active,two floors,Not Available,2019,21955
77,2842,Available for Sale,two floors,Not Available,2006,13385
78,3117,Under Contract,two floors,Not Available,2021,17838
79,3392,Active,two floors,Not Available,2014,10435
80,3667,Under Contract,two floors,Not Available,2011,16154
81,813,Active,three floors,Not Available,2008,42810
82,1970,Under Contract,three floors,Not Available,2001,28721
83,1576,Active,three floors,Not Available,2022,38138
84,1380,Under Contract,three floors,Not Available,2012,49116
85,1898,Available for Sale,three floors,Not Available,2021,39824
86,1798,Active,three floors,Not Available,2009,53748
87,1751,Under Contract,three floors,Not Available,2020,72271
88,1965,Available for Sale,three floors,Not Available,2022,75132
89,1108,Active,three floors,Not Available,2017,29428
90,998,Available for Sale,three floors,Not Available,2004,34853
91,1212,Under Contract,three floors,Not Available,2006,35869
92,1168,Active,three floors,Not Available,2012,37437
93,962,Under Contract,three floors,Not Available,2022,46055
94,1684,Active,three floors,Not Available,2006,26315
95,1250,Available for Sale,three floors,Not Available,2008,36275
96,1692,Under Contract,three floors,Not Available,2022,27013
97,1497,Available for Sale,three floors,Not Available,2012,32810
98,1396,Active,three floors,Not Available,2002,46564
99,1956,Under Contract,three floors,Not Available,2004,25493
100,1598,Available for Sale,three floors,Not Available,2011,31303
101,1540,Active,three floors,Not Available,2007,36994
102,1916,Under Contract,three floors,Not Available,2020,30603
103,851,Available for Sale,three floors,Not Available,2008,22915
104,1752,Active,three floors,Not Available,2016,34289
105,720,Available for Sale,three floors,Not Available,2010,318852
106,1400,Under Contract,three floors,Not Available,2020,31309
107,1400,Active,three floors,Not Available,2019,25021
108,1334,Under Contract,three floors,Not Available,2013,41628
109,1188,Available for Sale,three floors,Not Available,2021,31070
110,877,Active,three floors,Not Available,2017,44674
111,1707,Under Contract,three floors,Not Available,2011,28931
112,1540,Available for Sale,three floors,Not Available,2013,14559
113,750,Active,three floors,Not Available,2019,27288
114,1727,Under Contract,three floors,Not Available,2016,32375
115,2849,Active,three floors,Not Available,2013,60213
116,2790,Available for Sale,three floors,Not Available,2018,43329
117,2815,Active,three floors,Not Available,2012,30363
118,773,Under Contract,three floors,Not Available,2023,69504
119,1356,Available for Sale,three floors,Not Available,2017,50175
120,910,Active,three floors,Not Available,2000,25061
121,1051,Under Contract,three floors,Not Available,2007,33765
122,2179,Available for Sale,three floors,Not Available,2020,37804
123,1225,Active,three floors,Not Available,2019,41954
124,1338,Available for Sale,three floors,Not Available,2001,37440
125,1356,Under Contract,three floors,Not Available,2023,6316
126,910,Active,three floors,Not Available,2009,8663
127,1051,Under Contract,two floors,Not Available,2005,22008
128,2280,Available for Sale,two floors,Not Available,2020,25177
129,1830,Under Contract,two floors,Not Available,2003,31333
130,3578,Active,two floors,Not Available,2014,4712
131,1827,Available for Sale,two floors,Not Available,2004,7948
132,2330,Under Contract,two floors,Not Available,2008,12945
133,1528,Active,two floors,Not Available,2016,6858
134,2200,Available for Sale,two floors,Not Available,2005,7025
135,1628,Under Contract,two floors,Not Available,2002,12022
136,3160,Active,two floors,Not Available,2015,11244
137,2750,Under Contract,two floors,Not Available,2021,12868
138,1536,Available for Sale,two floors,Not Available,2023,8149
139,1704,Active,two floors,Not Available,2005,16739
140,1056,Under Contract,two floors,Not Available,2017,6484
141,1536,Available for Sale,two floors,Not Available,2012,6279
142,2472,Under Contract,two floors,Not Available,2020,16257
143,2503,Active,two floors,Not Available,2009,54701
144,2216,Available for Sale,two floors,Not Available,2008,25519
145,2501,Under Contract,two floors,Not Available,2003,70892
146,1985,Active,two floors,Not Available,2022,37156
147,2000,Available for Sale,two floors,Not Available,2008,1473044
148,1800,Under Contract,two floors,Not Available,2010,760171
149,679,Active,multiple,Not Available,2003,760279
150,826,Available for Sale,multiple,Not Available,2014,824471
151,610,Under Contract,multiple,Not Available,2011,1277335
152,1830,Active,multiple,Not Available,2011,2335173
153,711,Under Contract,multiple,Not Available,2018,1954675
154,905,Available for Sale,multiple,Not Available,2015,3740085
155,770,Active,multiple,Not Available,2019,2041600
156,1000,Under Contract,multiple,Not Available,2011,89133
157,1297,Available for Sale,multiple,Not Available,2015,6906
158,1080,Active,multiple,Not Available,2010,9368
159,815,Under Contract,multiple,Not Available,2016,10099
160,920,Available for Sale,multiple,Not Available,2013,52027
161,673,Active,multiple,Not Available,2017,23717
162,860,Under Contract,multiple,Not Available,2000,36297
163,1069,Available for Sale,multiple,Not Available,2014,32413
164,720,Active,multiple,Not Available,2000,15661
165,593,Available for Sale,multiple,Not Available,2002,28816
166,1260,Under Contract,multiple,Not Available,2012,26923
167,1153,Active,multiple,Not Available,2007,66745
168,1386,Available for Sale,multiple,Not Available,2022,55708
169,679,Under Contract,multiple,Not Available,2001,82977
170,826,Active,multiple,Not Available,2007,28191
171,610,Available for Sale,multiple,Not Available,2010,80427
172,1830,Under Contract,multiple,Not Available,2012,67656
173,711,Active,multiple,Not Available,2017,96983
174,905,Available for Sale,multiple,Not Available,2015,107096
175,770,Under Contract,multiple,Not Available,2005,93957
176,1000,Active,multiple,Not Available,2005,128934
177,1297,Available for Sale,multiple,Not Available,2002,175546
178,1080,Under Contract,multiple,Not Available,2005,25197
179,815,Active,multiple,Not Available,2008,42608
180,920,Available for Sale,multiple,Not Available,2017,39587
181,673,Under Contract,multiple,Not Available,2011,34682
182,860,Active,multiple,Not Available,2015,51843
183,1069,Under Contract,multiple,Not Available,2013,63877
184,720,Available for Sale,multiple,Not Available,2022,31651
185,593,Active,multiple,Not Available,2016,36335
186,1260,Under Contract,multiple,Not Available,2018,30210
187,1153,Available for Sale,multiple,Not Available,2022,30329
188,1386,Active,multiple,Not Available,2021,53004
189,1382,Available for Sale,multiple,Not Available,2018,34190
190,806,Under Contract,multiple,Not Available,2002,34701
191,1440,Active,one floor,Not Available,2001,55832
192,1488,Under Contract,one floor,Not Available,2018,20268
193,672,Available for Sale,one floor,Not Available,2015,52127
194,690,Active,one floor,Not Available,2003,41823
195,1440,Under Contract,one floor,Not Available,2024,51858
196,1440,Available for Sale,one floor,Not Available,2001,41941
197,1568,Under Contract,one floor,Not Available,2009,32356
198,1080,Active,one floor,Not Available,2017,38783
199,2040,Available for Sale,one floor,Not Available,2022,52462
200,2040,Active,one floor,Not Available,2010,47793
201,1248,Under Contract,one floor,Not Available,2024,70791
202,1344,Available for Sale,one floor,Not Available,2009,55541
203,1176,Active,one floor,Not Available,2007,46907
