Sr_No,Furnished Status,Facing,Car Parking,Type of Ownership,Booking Amount,Buy Total Price,CITY,PROPERTY_TYPE
1,Unfurnished,North,available,Freehold,0,519000, Chicago,Apartment
2,Unfurnished,North,available,Freehold,0,399900, Chicago,Apartment
3,Unfurnished,East,available,Freehold,0,575000, Chicago,Apartment
4,Furnished,West,available,Freehold,0,350000, Chicago,Apartment
5,Unfurnished,South,available,Freehold,0,159900, Chicago,Apartment
6,Unfurnished,North,available,Freehold,0,700000, Chicago,Apartment
7,Furnished,West,available,Freehold,0,700000, Chicago,Apartment
8,Unfurnished,South,available,Freehold,0,170000, Chicago,Apartment
9,Unfurnished,East,available,Freehold,0,155000, Chicago,Apartment
10,Unfurnished,West,available,Freehold,0,1200000, Chicago,Apartment
11,Unfurnished,North,available,Freehold,0,29400000,Bangalore,Villa
12,Unfurnished,East,available,Freehold,0,60600000,Bangalore,Villa
13,Unfurnished,West,available,Freehold,0,32400000,Bangalore,Villa
14,Unfurnished,North,available,Freehold,0,28100000,Bangalore,Villa
15,Unfurnished,South,available,Freehold,0,29300000,Bangalore,Villa
16,Furnished,West,available,Freehold,0,71800000,Bangalore,Villa
17,Unfurnished,North,available,Freehold,0,27700000,Bangalore,Villa
18,Unfurnished,South,available,Freehold,0,23300000,Bangalore,Villa
19,Unfurnished,East,available,Freehold,0,28500000,Bangalore,Villa
20,Unfurnished,West,available,Freehold,0,21200000,Bangalore,Villa
21,Unfurnished,North,available,Freehold,0,40600000,Bangalore,Villa
22,Unfurnished,South,available,Freehold,0,14900000,Bangalore,Villa
23,Unfurnished,East,available,Freehold,0,44900000,Bangalore,Villa
24,Unfurnished,West,available,Freehold,0,44000000,Bangalore,Villa
25,Unfurnished,North,available,Freehold,0,65300000,Bangalore,Villa
26,Unfurnished,East,available,Freehold,0,69100000,Bangalore,Villa
27,Unfurnished,South,available,Freehold,0,44200000,Bangalore,Villa
28,Unfurnished,West,available,Freehold,0,85700000,Bangalore,Villa
29,Unfurnished,North,available,Freehold,0,60000000,Bangalore,Villa
30,Unfurnished,East,available,Freehold,0,90000000,Bangalore,Villa
31,Unfurnished,South,available,Freehold,0,45100000,Bangalore,Villa
32,Unfurnished,West,available,Freehold,0,110000000,Bangalore,Villa
33,Unfurnished,North,available,Freehold,0,27500000,Bangalore,Villa
34,Unfurnished,South,available,Freehold,0,27000000,Bangalore,Villa
35,Unfurnished,East,available,Freehold,0,29000000,Bangalore,Villa
36,Unfurnished,West,available,Freehold,0,28000000,Bangalore,Villa
37,Unfurnished,North,available,Freehold,0,44300000,Bangalore,Villa
38,Unfurnished,East,available,Freehold,0,49300000,Bangalore,Villa
39,Unfurnished,West,available,Freehold,0,56950000,Bangalore,Villa
40,Unfurnished,South,available,Freehold,0,64670000,Bangalore,Villa
41,Unfurnished,North,available,Freehold,0,72390000,Bangalore,Villa
42,Unfurnished,West,available,Freehold,0,80110000,Bangalore,Villa
43,Unfurnished,South,available,Freehold,0,87830000,Bangalore,Villa
44,Unfurnished,East,available,Freehold,0,95550000,Bangalore,Villa
45,Unfurnished,North,available,Freehold,0,44300000,Bangalore,Villa
46,Unfurnished,West,available,Freehold,0,49300000,Bangalore,Villa
47,Unfurnished,South,available,Freehold,0,44400000,Bangalore,Villa
48,Furnished,East,available,Freehold,0,2900000,Bangalore,Villa
49,Unfurnished,North,available,Freehold,0,1100000,Bangalore,Villa
50,Unfurnished,East,available,Freehold,0,900000,Bangalore,Villa
51,Unfurnished,West,available,Freehold,0,54000000,New Delhi,Townhouse
52,Unfurnished,South,available,Freehold,0,65100000,New Delhi,Townhouse
53,Unfurnished,North,available,Freehold,0,23000000,New Delhi,Townhouse
54,Unfurnished,East,available,Freehold,0,9000000,New Delhi,Townhouse
55,Unfurnished,South,available,Freehold,0,65000000,New Delhi,Townhouse
56,Unfurnished,West,available,Freehold,0,11000000,New Delhi,Townhouse
57,Unfurnished,North,available,Freehold,0,65000000,New Delhi,Townhouse
58,Unfurnished,East,available,Freehold,0,90000000,New Delhi,Townhouse
59,Unfurnished,West,available,Freehold,0,76500000,New Delhi,Townhouse
60,Unfurnished,South,available,Freehold,0,159900000,New Delhi,Townhouse
61,Unfurnished,North,available,Freehold,0,50000000,New Delhi,Townhouse
62,Unfurnished,East,available,Freehold,0,21000000,New Delhi,Townhouse
63,Unfurnished,West,available,Freehold,0,36200000,New Delhi,Townhouse
64,Unfurnished,South,available,Freehold,0,1550000,New Delhi,Townhouse
65,Unfurnished,North,available,Freehold,0,32000000,New Delhi,Townhouse
66,Unfurnished,East,available,Freehold,0,16900000,New Delhi,Townhouse
67,Unfurnished,South,available,Freehold,0,33000000,New Delhi,Townhouse
68,Unfurnished,West,available,Freehold,0,6600000,New Delhi,Townhouse
69,Unfurnished,North,available,Freehold,0,9000000,New Delhi,Townhouse
70,Unfurnished,West,available,Freehold,0,74500000,New Delhi,Townhouse
71,Furnished,South,available,Freehold,0,10500000,New Delhi,Townhouse
72,Unfurnished,East,available,Freehold,0,23500000,New Delhi,Townhouse
